Year,MSHA ID,Mine Name,Mine State,Mine County,MineBasin,Mine Status,MineType,Company Type,OperationType,Operating Company,Operating Company Address,Union Code,Production,AverageEmployees,LaborHours
2011,4407190,Red Onion Surface Mine,Virginia,Wise,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Dr, Norton, VA 24273",,227159,54,125891
2011,4407224,Pine Branch 1,Virginia,Wise,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Cumberland River Coal Co Inc,"P.O. Box 109, Appalachia, VA 24216",Scotia Employees Association,292500,70,174799
2011,4407232,South Fork,Virginia,Wise,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Drive, Norton, VA 24273",,310636,55,118111
2011,4407251,Looney Creek Marker Mine,Virginia,Wise,Appalachia,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,Guest Mountain Mining Corporat,"5703 Crutchfield Drive, Norton, VA 24273",,315998,44,111376
2011,4407256,Fairbanks No 4,Virginia,Wise,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Fairbanks Coal Company Inc,"P.O. Box 175, Jackhorn, KY 41825",,193066,32,72575
2011,4604168,Sentinel Mine,West Virginia (Northern),Barbour,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Wolf Run Mining Company,"1 Edmiston Way, Suite 21, Buckhannon, WV 26201",,1243491,280,661736
2011,4601537,Farley Eagle Mine,West Virginia (Southern),Boone,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,"Gateway Eagle Coal Company, Ll","P.O. Box 776, Danville, WV 25053",United Mine Workers of America,322838,55,127688
2011,4604670,Hobet 21 Surface Mine,West Virginia (Southern),Boone,Appalachia,Active,Surface,Operating Subsidiary,Mine only,Hobet Mining Llc,"P.O. Box 305, Madison, WV 25130",United Mine Workers of America,2763241,318,800669
2011,4604955,No. 25,West Virginia (Southern),Boone,Appalachia,"Active, men working, not producing",Underground,Contractor,Mine only,Long Branch Energy,"P.O. Box 776, Danville, WV 25053",United Mine Workers of America,173254,69,150276
2011,4605130,Silver Oak No. 1,West Virginia (Southern),Boone,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,"Hanover Resources, Llc","476 Ragland Road, Beckley, WV 25802",,299001,45,102394
2011,4606618,Gateway Eagle Mine,West Virginia (Southern),Boone,Appalachia,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,"Gateway Eagle Coal Company, Ll","54912 Pond Fork Road, Wharton, WV 25208",UNIT,106510,70,134003
2011,4607009,Castle Mine,West Virginia (Southern),Boone,Appalachia,Active,Underground,Operating Subsidiary,Mine only,Elk Run Coal Company Inc,"P.O. Box 497, Sylvester, WV 25193",,150526,72,172226
